Name,Category,Website,Frontend,Backend,Infrastructure,Functional Programming
Anthropic,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.anthropic.com,React/Next.js,"Python, Rust",AWS,None
Applied Compute,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://appliedcompute.com,React,Python,AWS,None
BaseTen,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.baseten.co,React,"Python, Go",AWS,None
Black Forest Labs,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://blackforestlabs.ai,React,Python,AWS,None
Chai Discovery,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.chaidiscovery.com,React,Python,AWS,None
Cognition,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.cognition.ai,React,"Python, TypeScript",AWS,None
CoreWeave,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.coreweave.com,React,"Go, Python","Kubernetes, Bare Metal",None
Crusoe,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://crusoe.ai,React,"Python, Go","AWS, Own DCs",None
Etched,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.etched.com,React,"Python, C++",AWS,None
Exa,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://exa.ai,React,"Python, Go",AWS,None
Fal,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://fal.ai,React,"Python, Rust",AWS,None
Fireworks,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://fireworks.ai,React,"Python, C++",AWS,None
Lambda,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://lambdalabs.com,React,Python,Bare Metal,None
LangChain,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.langchain.com,React,"Python, TypeScript",AWS,None
Liquid AI,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.liquid.ai,React,Python,AWS,None
LlamaIndex,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.llamaindex.ai,React,"Python, TypeScript",AWS,None
Mistral AI,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://mistral.ai,React,"Python, Rust","AWS, GCP",None
Modal,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://modal.com,React,"Python, Rust",AWS,None
OpenAI,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://openai.com,React,"Python, Rust",Azure,None
Prime Intellect,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.primeintellect.ai,React,"Python, Go",AWS,None
Safe Superintelligence,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://ssi.inc,React,"Python, C++",AWS,None
Together,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.together.ai,React,"Python, C++",AWS,None
World Labs,"Artificial Intelligence (Frontier Labs, Infrastructure & Tooling)",https://www.worldlabs.ai,React,"Python, C++",AWS,None
Abridge,AI-Native Applications & Agents,https://www.abridge.com,React,Python,AWS,None
Basis,AI-Native Applications & Agents,https://www.basis.ai,React,Python,AWS,None
Clay,AI-Native Applications & Agents,https://www.clay.com,React,"Node.js, TypeScript",AWS,None
Decagon,AI-Native Applications & Agents,https://decagon.ai,React,Python,AWS,None
ElevenLabs,AI-Native Applications & Agents,https://elevenlabs.io,React,"Python, C++",AWS,None
Factory,AI-Native Applications & Agents,https://www.factory.ai,React,Python,AWS,None
Gamma,AI-Native Applications & Agents,https://gamma.app,React,"Node.js, Python",AWS,None
Genspark,AI-Native Applications & Agents,https://www.genspark.ai,React,Python,AWS,None
Glean,AI-Native Applications & Agents,https://www.glean.com,React,"Go, Python",GCP,None
Granola,AI-Native Applications & Agents,https://www.granola.ai,React,Python,AWS,None
Harvey,AI-Native Applications & Agents,https://www.harvey.ai,React,Python,AWS,None
Legora,AI-Native Applications & Agents,https://www.legora.ai,React,Python,AWS,None
OpenEvidence,AI-Native Applications & Agents,https://www.openevidence.com,React,Python,AWS,None
Profound,AI-Native Applications & Agents,https://www.profound.ai,React,Python,AWS,None
Reflection AI,AI-Native Applications & Agents,https://www.reflection.ai,React,Python,AWS,None
Sierra,AI-Native Applications & Agents,https://sierra.ai,React,Python,AWS,None
Surge AI,AI-Native Applications & Agents,https://www.surgehq.ai,React,"Python, Go",AWS,None
Thinking Machines,AI-Native Applications & Agents,https://thinkingmachin.es,React,Python,GCP,None
Wispr Flow,AI-Native Applications & Agents,https://www.flow.wispr.ai,React,Python,AWS,None
Chainguard,"Developer Tools, Data & Infrastructure",https://www.chainguard.dev,React,Go,GCP,None
ClickHouse,"Developer Tools, Data & Infrastructure",https://clickhouse.com,React,C++,"AWS, GCP, Azure",None
Cloudflare,"Developer Tools, Data & Infrastructure",https://www.cloudflare.com,React,"Go, Rust",Bare Metal,None
Cursor,"Developer Tools, Data & Infrastructure",https://www.cursor.com,React,"TypeScript, Python",AWS,None
Databricks,"Developer Tools, Data & Infrastructure",https://databricks.com,React,Scala,"AWS, Azure",Scala
Hex,"Developer Tools, Data & Infrastructure",https://hex.tech,React,"Python, Node.js",AWS,None
Linear,"Developer Tools, Data & Infrastructure",https://linear.app,React,"Node.js, TypeScript",GCP,None
Lovable,"Developer Tools, Data & Infrastructure",https://lovable.dev,React,TypeScript,AWS,None
